[6990 131105-15:40:13.868] INFO: load service log ok
[6990 131105-15:40:13.868] INFO: host log level DEBUG
[6990 131105-15:40:13.868] INFO: load service dispatcher ok
[6990 131105-15:40:13.868] INFO: load service node ok
[6990 131105-15:40:13.868] INFO: load service centerc ok
[6990 131105-15:40:13.868] INFO: load service cmdctl ok
[6990 131105-15:40:13.868] INFO: load service world ok
[6990 131105-15:40:13.868] INFO: load service gamematch ok
[6990 131105-15:40:13.868] INFO: load service playerdb ok
[6990 131105-15:40:13.868] INFO: node register, NODE[world0000,T03,C-001,L0.0.0.0:0,N127.0.0.1:8300,G0.0.0.0:0]
[6990 131105-15:40:13.868] INFO: listen on 127.0.0.1:8300
[6990 131105-15:40:13.868] INFO: connect to 127.0.0.1:8000 ...
[6990 131105-15:40:13.868] INFO: connect to center ok
[6990 131105-15:40:13.868] INFO: load tplt: ./res/tbl/roledata.tbl
[6990 131105-15:40:13.868] INFO: Shaco start
[6990 131105-15:44:21.822] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.822] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.823] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.823] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.823] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.823] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.823] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.823] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.824] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.824] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.824] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.824] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.824] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.824] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.824] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.825] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.825] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.825] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.825] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.825] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.825] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.826] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.826] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.826] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.826] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.826] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.827] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.827] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.827] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.827] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.827] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.827] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.827] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.828] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.828] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.828] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.828] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.828] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.828] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.829] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.829] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.829] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.829] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.829] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.829] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.830] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.830] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.830] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.830] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.830] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.830] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.831] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.831] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.831] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.831] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.831] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.831] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.831] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.832] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.832] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.832] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.832] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.832] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.832] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.833] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.833] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.833] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.833] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.833] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.833] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.833] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.834] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.834] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.834] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.834] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.834] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.834] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.835] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.835] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.835] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.835] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.835] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.835] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.836] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.836] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.836] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.836] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.836] DEBUG: Receive msg:12, from gate, to service:world
